ID,Date,Date - Clean,Content,ConvoID,Sender,Participants,Participant Count,Participants,Incomplete,ConvoEnd,
374,2022-04-14 11:58:19 ( CDT ),44665.49883101852,You should raise your offer,34,Jason Calacanis,"Jason Calacanis, Self",,"Jason Calacanis, Self",,,
375,2022-04-14 11:58:25 ( CDT ),44665.49890046296,54.21,34,Jason Calacanis,"Jason Calacanis, Self",,"Jason Calacanis, Self",,,
376,2022-04-14 11:58:37 ( CDT ),44665.49903935185,The perfect counter,34,Jason Calacanis,"Jason Calacanis, Self",,"Jason Calacanis, Self",,,
377,2022-04-14 12:00:48 ( CDT ),44665.500555555554,You could easily clean up bots and spam and make the service viable for many more users
Removing bots and spam is a lot less complicated than what the Tesla self driving team is
doing ( based on hearing the last edge case meeting )
-,34,Jason Calacanis,"Jason Calacanis, Self",,"Jason Calacanis, Self",,,
378,2022-04-14 12:01:16 ( CDT ),44665.50087962963,"And why should blue check marks be limited to the elite , press and celebrities ? How is that
democratic ?",34,Jason Calacanis,"Jason Calacanis, Self",,"Jason Calacanis, Self",,,
379,2022-04-14 12:04:52 ( CDT ),44665.50337962963,The Kingdom would like a word ..
https://twitter.com/Alwaleed_Talal/status/1514615956986757127?s=20&t=2q4VfMBXrldYGj
3vFN_row @,34,Jason Calacanis,"Jason Calacanis, Self",,"Jason Calacanis, Self",,,
389,2022-04-15 17:06:33 ( CDT ),44666.71288194445,Back of the envelope ... Twitter revenue per employee : $ 5B rev / 8k employees = $ 625K rev
per employee in 2021 Google revenue per employee : $ 257B rev / 135K employee = $ 1.9M
per employee in 2021 Apple revenue per employee : $ 365B rev / 154k employees = $ 2.37M
per employee in fiscal 2021,34,Jason Calacanis,"Jason Calacanis, Self",,"Jason Calacanis, Self",,,
390,2022-04-15 17:08:07 ( CDT ),44666.71396990741,Twitter revenue per employee if 3k instead of 8k : $ 5B rev / 3k employees = $ 1.66m rev per
employee in 2021 ( more industry standard ),34,Jason Calacanis,"Jason Calacanis, Self",,"Jason Calacanis, Self",,,
391,2022-04-15 17:17:34 ( CDT ),44666.72053240741,Emphasized " Back of the envelope ... Twitter revenue per employee : $ 5B rev / 8k employees
= $ 625K rev per employee in 2021 Google revenue per employee : $ 257B rev / 135K
employee = $ 1.9M per employee in 2021 Apple revenue per employee : $ 365B rev / 154k
employees = $ 2.37M per employee in fiscal 2021 ",34,Self,"Jason Calacanis, Self",,"Jason Calacanis, Self",,,
392,2022-04-15 17:17:48 ( CDT ),44666.72069444445,Insane potential for improvement,34,Self,"Jason Calacanis, Self",,"Jason Calacanis, Self",,,
393,2022-04-15 17:21:45 ( CDT ),44666.7234375,< Attachment - image / gif - IMG_2241.GIF >,34,Jason Calacanis,"Jason Calacanis, Self",,"Jason Calacanis, Self",,,
